id,category,case_pass,route_correct,tool_selection_correct,tool_arguments_correct,tool_order_correct,approval_correct,guardrail_correct,project_correct,cross_check_correct,recovery_correct,expected_routes,actual_routes,duration_ms,iteration_count,failures
coding_generic_python_out_of_scope,routing,True,True,True,True,True,,True,,,,[],[],4378.919,0,[]
coding_create_rejected,routing,True,True,True,True,True,True,True,True,,,[],[],3065.116,0,[]
